04/05|Segunda|Manhã|Colégio Monteiro Lobato|8h00|Quadra Grande Externa|3º ano Ensino Médio|Basquete|Masc|VERMELHO X ROXO
04/05|Segunda|Manhã|Colégio Monteiro Lobato|8h00|Quadra Pequena Externa|6º ano Ensino Fundamental II|Basquetebol|Masc|VERMELHO X ROXO
04/05|Segunda|Manhã|Colégio Monteiro Lobato|8h00|Quadra Coberta|3º ano Ensino Médio|Voleibol|Fem|ROXO X VERDE
04/05|Segunda|Manhã|Colégio Monteiro Lobato|8h00|Quadra de Voleibol Externa|2º ano Ensino Médio|Voleibol|Masc|VERMELHO X VERDE
04/05|Segunda|Manhã|Colégio Monteiro Lobato|8h40|Quadra Grande Externa|1º ano Ensino Médio|Futsal|Fem|VERMELHO X VERDE
04/05|Segunda|Manhã|Colégio Monteiro Lobato|8h40|Quadra Pequena Externa|6º ano Ensino Fundamental II|Basquetebol|Fem|ROXO X VERDE
04/05|Segunda|Manhã|Colégio Monteiro Lobato|8h40|Quadra Coberta|7º ano Ensino Fundamental II|Voleibol|Fem|ROXO X VERDE
04/05|Segunda|Manhã|Colégio Monteiro Lobato|8h40|Quadra de Voleibol Externa|7º ano Ensino Fundamental II|Voleibol|Masc|VERMELHO X VERDE
04/05|Segunda|Manhã|Colégio Monteiro Lobato|9h20|Quadra Grande Externa|3º ano Ensino Médio|Basquete|Masc|VERDE X P-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|9h20|Quadra Pequena Externa|6º ano Ensino Fundamental II|Basquetebol|Masc|VERDE X P-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|9h20|Quadra Coberta|3º ano Ensino Médio|Voleibol|Fem|VERMELHO X P-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|9h20|Quadra de Voleibol Externa|2º ano Ensino Médio|Voleibol|Masc|ROXO X P-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|10h30|Quadra Grande Externa|1º ano Ensino Médio|Futsal|Fem|ROXO X P-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|10h30|Quadra Pequena Externa|6º ano Ensino Fundamental II|Basquetebol|Fem|VERMELHO X P-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|10h30|Quadra Coberta|7º ano Ensino Fundamental II|Voleibol|Fem|VERMELHO X P-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|10h30|Quadra de Voleibol Externa|7º ano Ensino Fundamental II|Voleibol|Masc|ROXO X P-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|11h10|Quadra Grande Externa|3º ano Ensino Médio|Basquetebol|Masc|VERDE X V-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|11h10|Quadra Pequena Externa|6º ano Ensino Fundamental II|Basquetebol|Masc|VERDE X V-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|11h10|Quadra Coberta|3º ano Ensino Médio|Voleibol|Fem|VERMELHO X V-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|11h10|Quadra de Voleibol Externa|2º ano Ensino Médio|Voleibol|Masc|ROXO X V-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|11h50|Quadra Grande Externa|1º ano Ensino Médio|Futsal|Fem|ROXO X V-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|11h50|Quadra Pequena Externa|6º ano Ensino Fundamental II|Basquetebol|Fem|VERMELHO X V-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|11h50|Quadra Coberta|7º ano Ensino Fundamental II|Voleibol|Fem|VERMELHO X V-
04/05|Segunda|Manhã|Colégio Monteiro Lobato|11h50|Quadra de Voleibol Externa|7º ano Ensino Fundamental II|Voleibol|Masc|ROXO X V-
04/05|Segunda|Manhã|Monteiro Open|8h00|Grama Grande|9º ano Ensino Fundamental II|Futsal|Masc|ROXO X VERMELHO
04/05|Segunda|Manhã|Monteiro Open|8h00|Quadra 1|1º ano Ensino Médio|Basquete|Masc|ROXO X VERDE
04/05|Segunda|Manhã|Monteiro Open|8h00|Quadra 2|2º ano Ensino Médio|Voleibol|Fem|VERMELHO X ROXO
04/05|Segunda|Manhã|Monteiro Open|8h40|Grama Grande|9º ano Ensino Fundamental II|Futsal|Fem|VERDE X ROXO
04/05|Segunda|Manhã|Monteiro Open|8h40|Quadra 1|8º ano Ensino Fundamental II|Basquetebol|Masc|VERMELHO X VERDE
04/05|Segunda|Manhã|Monteiro Open|8h40|Quadra 2|8º ano Ensino Fundamental II|Basquetebol|Fem|VERMELHO X ROXO
04/05|Segunda|Manhã|Monteiro Open|9h20|Grama Grande|9º ano Ensino Fundamental II|Futsal|Masc|VERDE X P-
04/05|Segunda|Manhã|Monteiro Open|9h20|Quadra 1|1º ano Ensino Médio|Basquetebol|Masc|VERMELHO X P-
04/05|Segunda|Manhã|Monteiro Open|9h20|Quadra 2|2º ano Ensino Médio|Voleibol|Fem|VERDE X P-
04/05|Segunda|Manhã|Monteiro Open|10h30|Grama Grande|9º ano Ensino Fundamental II|Futsal|Fem|VERMELHO X P-
04/05|Segunda|Manhã|Monteiro Open|10h30|Quadra 1|8º ano Ensino Fundamental II|Basquetebol|Masc|ROXO X P-
04/05|Segunda|Manhã|Monteiro Open|10h30|Quadra 2|8º ano Ensino Fundamental II|Basquetebol|Fem|P- X VERDE
04/05|Segunda|Manhã|Monteiro Open|11h10|Grama Grande|9º ano Ensino Fundamental II|Futsal|Masc|VERDE X V-
04/05|Segunda|Manhã|Monteiro Open|11h10|Quadra 1|1º ano Ensino Médio|Basquetebol|Masc|VERMELHO X V-
04/05|Segunda|Manhã|Monteiro Open|11h10|Quadra 2|2º ano Ensino Médio|Voleibol|Fem|VERDE X V-
04/05|Segunda|Manhã|Monteiro Open|11h50|Grama Grande|9º ano Ensino Fundamental II|Futsal|Fem|VERMELHO X V-
04/05|Segunda|Manhã|Monteiro Open|11h50|Quadra 1|8º ano Ensino Fundamental II|Basquetebol|Masc|ROXO X V-
04/05|Segunda|Manhã|Monteiro Open|11h50|Quadra 2|8º ano Ensino Fundamental II|Basquetebol|Fem|VERDE X V-
04/05|Segunda|Tarde|Monteiro Open|14h30|Quadra Grande|3º ano Ensino Fundamental I|Futsal|Masc|VERMELHO X ROXO
04/05|Segunda|Tarde|Monteiro Open|14h30|Quadra Pequena|3º ano Ensino Fundamental I|Futsal|Fem|ROXO X VERDE
04/05|Segunda|Tarde|Monteiro Open|14h30|Quadra Coberta|1º ano Ensino Fundamental I|Queimada|Fem|ROXO X VERDE
04/05|Segunda|Tarde|Monteiro Open|14h30|Quadra Voleibol|1º ano Ensino Fundamental I|Queimada|Masc|VERMELHO X VERDE
04/05|Segunda|Tarde|Monteiro Open|15h10|Quadra Grande|3º ano Ensino Fundamental I|Futsal|Masc|VERDE X P-
04/05|Segunda|Tarde|Monteiro Open|15h10|Quadra Pequena|3º ano Ensino Fundamental I|Futsal|Fem|VERMELHO X P-
04/05|Segunda|Tarde|Monteiro Open|15h10|Quadra Coberta|1º ano Ensino Fundamental I|Queimada|Fem|VERMELHO X P-
04/05|Segunda|Tarde|Monteiro Open|15h10|Quadra Voleibol|1º ano Ensino Fundamental I|Queimada|Masc|ROXO X P-
04/05|Segunda|Tarde|Monteiro Open|16h20|Quadra Grande|3º ano Ensino Fundamental I|Futsal|Masc|VERDE X V-
04/05|Segunda|Tarde|Monteiro Open|16h20|Quadra Pequena|3º ano Ensino Fundamental I|Futsal|Fem|VERMELHO X V-
04/05|Segunda|Tarde|Monteiro Open|16h20|Quadra Coberta|1º ano Ensino Fundamental I|Bola Por Cima da Rede|Fem|VERMELHO X ROXO
04/05|Segunda|Tarde|Monteiro Open|16h20|Quadra Voleibol|1º ano Ensino Fundamental I|Bola Por Cima da Rede|Masc|ROXO X VERDE
04/05|Segunda|Tarde|Monteiro Open|17h00|Quadra Grande|3º ano Ensino Fundamental I|Dodgeball|Masc|VERMELHO X VERDE
04/05|Segunda|Tarde|Monteiro Open|17h00|Quadra Pequena|3º ano Ensino Fundamental I|Dodgeball|Fem|VERMELHO X ROXO
04/05|Segunda|Tarde|Monteiro Open|17h00|Quadra Coberta|1º ano Ensino Fundamental I|Bola Por Cima da Rede|Fem|VERDE X P-
04/05|Segunda|Tarde|Monteiro Open|17h00|Quadra Voleibol|1º ano Ensino Fundamental I|Bola Por Cima da Rede|Masc|VERMELHO X P-
04/05|Segunda|Tarde|Monteiro Open|17h10|Quadra Grande|3º ano Ensino Fundamental I|Dodgeball|Masc|ROXO X P-
04/05|Segunda|Tarde|Monteiro Open|17h10|Quadra Pequena|3º ano Ensino Fundamental I|Dodgeball|Fem|VERDE X P-
04/05|Segunda|Tarde|Monteiro Open|17h20|Quadra Grande|3º ano Ensino Fundamental I|Dodgeball|Masc|ROXO X V-
04/05|Segunda|Tarde|Monteiro Open|17h20|Quadra Pequena|3º ano Ensino Fundamental I|Dodgeball|Fem|VERDE X V-
04/05|Segunda|Tarde|Monteiro Open|17h20|Quadra Coberta|1º ano Ensino Fundamental I|Bola Por Cima da Rede|Fem|VERDE X V-
04/05|Segunda|Tarde|Monteiro Open|17h20|Quadra Voleibol|1º ano Ensino Fundamental I|Bola Por Cima da Rede|Masc|VERMELHO X V-
04/05|Segunda|Tarde|Colégio Monteiro Lobato|14h30|Quadra 2|2º ano Ensino Fundamental I|Queimada dos Números|Fem|VERMELHO X VERDE
04/05|Segunda|Tarde|Colégio Monteiro Lobato|14h30|Quadra Grande|2º ano Ensino Fundamental I|Futsal|Masc|VERMELHO X ROXO
04/05|Segunda|Tarde|Colégio Monteiro Lobato|15h10|Quadra 2|2º ano Ensino Fundamental I|Queimada dos Números|Fem|ROXO X P-
04/05|Segunda|Tarde|Colégio Monteiro Lobato|15h10|Quadra Grande|2º ano Ensino Fundamental I|Futsal|Masc|VERDE X P-
04/05|Segunda|Tarde|Colégio Monteiro Lobato|16h20|Quadra 2|2º ano Ensino Fundamental I|Queimada dos Números|Fem|ROXO X V-
04/05|Segunda|Tarde|Colégio Monteiro Lobato|16h20|Quadra Grande|2º ano Ensino Fundamental I|Futsal|Masc|VERDE X V-
04/05|Segunda|Tarde|Colégio Monteiro Lobato|17h00|Quadra 2|2º ano Ensino Fundamental I|Queimada dos Números|Masc|ROXO X VERDE
04/05|Segunda|Tarde|Colégio Monteiro Lobato|17h00|Quadra Grande|2º ano Ensino Fundamental I|Futsal|Fem|VERMELHO X VERDE
04/05|Segunda|Tarde|Colégio Monteiro Lobato|17h10|Quadra 2|2º ano Ensino Fundamental I|Queimada dos Números|Masc|VERMELHO X P-
04/05|Segunda|Tarde|Colégio Monteiro Lobato|17h10|Quadra Grande|2º ano Ensino Fundamental I|Futsal|Fem|ROXO X P-
04/05|Segunda|Tarde|Colégio Monteiro Lobato|17h20|Quadra 2|2º ano Ensino Fundamental I|Queimada dos Números|Masc|VERMELHO X V-
04/05|Segunda|Tarde|Colégio Monteiro Lobato|17h20|Quadra Grande|2º ano Ensino Fundamental I|Futsal|Fem|ROXO X V-
04/05|Segunda|Tarde|Colégio Monteiro Lobato|17h30|Quadra Pequena|7º ano Ensino Fundamental II|Basquete|Fem|VERMELHO X ROXO
04/05|Segunda|Tarde|Colégio Monteiro Lobato|17h30|Quadra Grande Externa|7º ano Ensino Fundamental II|Basquetebol|Fem|VERMELHO X VERDE
04/05|Segunda|Tarde|Colégio Monteiro Lobato|17h30|Quadra Coberta|8º ano Ensino Fundamental II|Voleibol|Masc|VERMELHO X VERDE
04/05|Segunda|Tarde|Colégio Monteiro Lobato|17h30|Quadra de Voleibol Externa|6º ano Ensino Fundamental II|Voleibol|Fem|VERMELHO X ROXO
04/05|Segunda|Noite|Monteiro Open|18h00|Quadra Pequena|7º ano Ensino Fundamental II|Basquetebol|Fem|P- X ROXO
04/05|Segunda|Noite|Monteiro Open|18h00|Quadra Grande Externa|7º ano Ensino Fundamental II|Basquete|Fem|ROXO X P-
04/05|Segunda|Noite|Monteiro Open|18h00|Quadra Coberta|8º ano Ensino Fundamental II|Voleibol|Masc|ROXO X P-
04/05|Segunda|Noite|Monteiro Open|18h00|Quadra de Voleibol Externa|6º ano Ensino Fundamental II|Voleibol|Fem|VERDE X P-
04/05|Segunda|Noite|Monteiro Open|18h30|Quadra Pequena|7º ano Ensino Fundamental II|Basquetebol|Fem|ROXO X V-
04/05|Segunda|Noite|Monteiro Open|18h30|Quadra Grande Externa|7º ano Ensino Fundamental II|Basquete|Fem|ROXO X V-
04/05|Segunda|Noite|Monteiro Open|18h30|Quadra Coberta|8º ano Ensino Fundamental II|Voleibol|Masc|ROXO X V-
04/05|Segunda|Noite|Monteiro Open|18h30|Quadra de Voleibol Externa|6º ano Ensino Fundamental II|Voleibol|Fem|VERDE X V-
04/05|Segunda|Noite|Monteiro Open|19h00|Quadra Pequena|3º ano Ensino Médio|Handebol|Fem|VERMELHO X ROXO
04/05|Segunda|Noite|Monteiro Open|19h00|Quadra Grande Externa|2º ano Ensino Médio|Futsal|Fem|VERMELHO X ROXO
